title,date,duration,yes_votes,no_votes,winners,losers,outcome,category
Noita Soler TI 10-30,2025-10-05 08:25:58,00:14:16,62,231,62,231,Won,Twitch Integration
Noita Pillar Roulette Daily Run,2025-10-05 09:11:20,05:22:56,398,43,398,43,Won,Daily Run
Silksong Phantom Boss 3 Attempts,2025-10-08 07:23:12,00:14:05,65,77,77,65,Lost,Hollow Knight: Silksong
Silksong Judge Boss 10 Attempts,2025-10-08 09:59:28,00:30:32,58,39,39,58,Lost,Hollow Knight: Silksong
Noita Microplastics Daily Run,2025-10-09 06:19:16,06:38:35,450,32,450,32,Won,Daily Run
Noita Soler TI 18-26,2025-10-12 06:22:07,00:12:49,39,261,261,39,Lost,Twitch Integration
Noita Drown The World + Fish Quest Daily Run,2025-10-12 07:31:39,03:36:02,483,24,483,24,Won,Daily Run
Noita Soler TI 18-26,2025-10-12 11:33:10,00:13:57,54,213,54,213,Won,Twitch Integration
Noita Soler TI 18-26,2025-10-12 12:05:04,00:19:39,55,226,226,55,Lost,Twitch Integration
Silksong Savage Beastfly 2 Boss 10 Attempts,2025-10-15 09:02:50,00:14:57,54,41,54,41,Won,Hollow Knight: Silksong
Noita Soler TI 18-26,2025-10-16 07:34:50,00:17:42,55,206,206,55,Lost,Twitch Integration
Noita Levitation Killer Daily Run,2025-10-16 08:38:25,04:04:17,332,18,332,18,Won,Daily Run
Noita Soler TI 18-26,2025-10-16 12:56:45,00:21:43,46,185,46,185,Won,Twitch Integration
Noita No HM Dark Sun Daily Run,2025-10-17 07:04:23,06:33:11,342,32,342,32,Won,Daily Run
Noita Soler TI 18-26,2025-10-18 07:37:54,00:33:06,54,242,242,54,Lost,Twitch Integration
Noita Altar Rain With Fungal Pain Daily Run,2025-10-18 08:21:37,05:18:30,363,46,363,46,Won,Daily Run
Noita Ethical Tower Daily Run,2025-10-19 08:46:39,03:47:55,517,26,517,26,Won,Daily Run
Noita Soler TI 10-25,2025-10-19 12:55:26,00:16:31,65,231,231,65,Lost,Twitch Integration
Silksong Groal Boss 3 Attempts,2025-10-23 07:27:54,00:26:09,43,78,78,43,Lost,Hollow Knight: Silksong
Silksong First Sinner 10 Attempts,2025-10-23 09:49:00,00:36:10,32,49,32,49,Won,Hollow Knight: Silksong
Noita Soler TI 13-37,2025-10-24 07:37:20,00:30:50,65,192,192,65,Lost,Twitch Integration
Noita Lightning Build Daily Run,2025-10-24 09:17:00,03:07:48,415,22,415,22,Won,Daily Run
